op,costCon,avgCon,costUnion,avgUnion
204,2,2.000,628,623.279
205,2,2.000,627,623.298
206,2,2.000,626,623.311
207,2,2.000,626,623.324
208,2,2.000,626,623.337
209,2,2.000,626,623.349
210,2,2.000,627,623.367
211,2,2.000,630,623.398
212,2,2.000,626,623.410
213,2,2.000,626,623.423
214,2,2.000,627,623.439
215,2,2.000,626,623.451
216,2,2.000,627,623.468
217,2,2.000,626,623.479
218,2,2.000,626,623.491
219,2,2.000,627,623.507
220,2,2.000,626,623.518
221,2,2.000,627,623.534
222,2,2.000,628,623.554
223,2,2.000,630,623.583
224,2,2.000,626,623.594
225,2,2.000,626,623.604
226,2,2.000,626,623.615
227,2,2.000,626,623.626
228,2,2.000,628,623.645
229,2,2.000,626,623.655
230,2,2.000,630,623.683
231,2,2.000,626,623.693
232,2,2.000,627,623.707
233,2,2.000,626,623.717
234,2,2.000,629,623.739
235,2,2.000,626,623.749
236,2,2.000,627,623.763
237,2,2.000,628,623.781
238,2,2.000,626,623.790
239,2,2.000,626,623.799
240,2,2.000,627,623.813
241,2,2.000,627,623.826
242,2,2.000,636,623.876
243,2,2.000,628,623.893
244,2,2.000,626,623.902
245,2,2.000,630,623.927
246,2,2.000,626,623.935
247,2,2.000,627,623.947
248,2,2.000,626,623.956
249,2,2.000,626,623.964
250,2,2.000,629,623.984
251,2,2.000,626,623.992
252,2,2.000,630,624.016
253,2,2.000,627,624.028
254,2,2.000,626,624.035
255,2,2.000,627,624.047
256,2,2.000,627,624.059
257,2,2.000,626,624.066
258,2,2.000,626,624.074
259,2,2.000,626,624.081
260,2,2.000,627,624.092
261,2,2.000,626,624.100
262,2,2.000,626,624.107
263,2,2.000,626,624.114
264,2,2.000,631,624.140
265,2,2.000,626,624.147
266,2,2.000,626,624.154
267,2,2.000,628,624.169
268,2,2.000,627,624.179
269,2,2.000,628,624.193
270,2,2.000,629,624.211
271,2,2.000,626,624.218
272,2,2.000,627,624.228
273,2,2.000,626,624.234
274,2,2.000,626,624.241
275,2,2.000,626,624.247
276,2,2.000,626,624.254
277,2,2.000,626,624.260
278,2,2.000,626,624.266
279,2,2.000,631,624.290
280,2,2.000,637,624.336
281,2,2.000,628,624.349
282,2,2.000,628,624.362
283,2,2.000,626,624.367
284,2,2.000,626,624.373
285,2,2.000,626,624.379
286,2,2.000,0,622.196
287,2,2.000,0,620.028
288,2,2.000,626,620.049
289,2,2.000,626,620.069
290,2,2.000,626,620.090
291,2,2.000,626,620.110
292,2,2.000,626,620.130
293,2,2.000,627,620.154
294,2,2.000,626,620.173
295,2,2.000,626,620.193
296,2,2.000,628,620.220
297,2,2.000,627,620.242
298,2,2.000,628,620.268
299,2,2.000,630,620.301
300,2,2.000,626,620.320
301,2,2.000,629,620.349
302,2,2.000,626,620.368
303,2,2.000,631,620.403
304,2,2.000,626,620.421
305,2,2.000,0,618.387
306,2,2.000,627,618.415
307,2,2.000,626,618.440
308,2,2.000,627,618.468
309,2,2.000,626,618.492
310,2,2.000,628,618.523
311,2,2.000,626,618.547
312,2,2.000,626,618.571
313,2,2.000,629,618.604
314,2,2.000,626,618.627
315,2,2.000,626,618.651
316,2,2.000,626,618.674
317,2,2.000,629,618.707
318,2,2.000,629,618.739
319,2,2.000,626,618.762
320,2,2.000,628,618.791
321,2,2.000,630,618.826
322,2,2.000,629,618.857
323,2,2.000,626,618.879
324,2,2.000,626,618.901
325,2,2.000,626,618.923
326,2,2.000,626,618.945
327,2,2.000,634,618.991
328,2,2.000,628,619.018
329,2,2.000,627,619.043
330,2,2.000,631,619.079
331,2,2.000,641,619.145
332,2,2.000,629,619.175
333,2,2.000,627,619.198
334,2,2.000,630,619.231
335,2,2.000,636,619.281
336,2,2.000,627,619.304
337,2,2.000,634,619.347
338,2,2.000,632,619.385
339,2,2.000,627,619.407
340,2,2.000,626,619.426
341,2,2.000,627,619.449
342,2,2.000,626,619.468
343,2,2.000,627,619.490
344,2,2.000,626,619.509
345,2,2.000,634,619.551
346,2,2.000,627,619.572
347,2,2.000,627,619.594
348,2,2.000,626,619.612
349,2,2.000,628,619.636
350,2,2.000,638,619.689
351,2,2.000,627,619.709
352,2,2.000,626,619.727
353,2,2.000,626,619.745
354,2,2.000,628,619.768
355,2,2.000,626,619.786
356,2,2.000,627,619.806
357,2,2.000,627,619.826
358,2,2.000,626,619.844
359,2,2.000,638,619.894
360,2,2.000,640,619.950
361,2,2.000,634,619.989
362,2,2.000,626,620.006
363,2,2.000,627,620.025
364,2,2.000,629,620.049
365,2,2.000,626,620.066
366,2,2.000,628,620.087
367,2,2.000,626,620.104
368,2,2.000,628,620.125
369,2,2.000,627,620.144
370,2,2.000,627,620.162
371,2,2.000,634,620.199
372,2,2.000,629,620.223
373,2,2.000,627,620.241
374,2,2.000,627,620.259
375,2,2.000,626,620.275
376,2,2.000,0,618.625
377,2,2.000,631,618.658
378,2,2.000,628,618.683
379,2,2.000,635,618.726
380,2,2.000,0,617.097
381,2,2.000,628,617.126
382,2,2.000,626,617.149
383,2,2.000,626,617.172
384,2,2.000,631,617.208
385,2,2.000,635,617.255
386,2,2.000,626,617.277
387,2,2.000,626,617.300
388,2,2.000,637,617.351
389,2,2.000,630,617.383
390,2,2.000,626,617.405
391,2,2.000,0,615.826
392,2,2.000,627,615.855
393,2,2.000,627,615.883
394,2,2.000,630,615.919
395,2,2.000,629,615.952
396,2,2.000,627,615.980
397,2,2.000,0,614.428
398,2,2.000,627,614.460
399,2,2.000,628,614.494
400,2,2.000,0,612.958
401,2,2.000,626,612.990
402,2,2.000,0,611.465
403,2,2.000,627,611.504
404,2,2.000,626,611.540
405,2,2.000,640,611.610
406,2,2.000,627,611.648
407,2,2.000,626,611.683
408,2,2.000,641,611.755
409,2,2.000,626,611.790
410,2,2.000,656,611.898
411,2,2.000,635,611.954
412,2,2.000,637,612.015
413,2,2.000,0,610.533
414,2,2.000,627,610.572
415,2,2.000,636,610.634
416,2,2.000,0,609.166
417,2,2.000,660,609.288
418,2,2.000,628,609.333
419,2,2.000,626,609.372
420,2,2.000,626,609.412
421,2,2.000,628,609.456
422,2,2.000,627,609.498
423,2,2.000,0,608.057
424,2,2.000,635,608.120
425,2,2.000,631,608.174
426,2,2.000,633,608.232
427,2,2.000,628,608.279
428,2,2.000,627,608.322
429,2,2.000,642,608.401
430,2,2.000,626,608.442
431,2,2.000,648,608.534
432,2,2.000,630,608.583
433,2,2.000,626,608.624
434,2,2.000,627,608.666
435,2,2.000,647,608.754
436,2,2.000,635,608.814
437,2,2.000,627,608.856
438,2,2.000,626,608.895
439,2,2.000,626,608.934
440,2,2.000,0,607.550
441,2,2.000,628,607.596
442,2,2.000,626,607.638
443,2,2.000,627,607.682
444,2,2.000,628,607.727
445,2,2.000,626,607.769
446,2,2.000,0,606.406
447,2,2.000,626,606.450
448,2,2.000,627,606.496
449,2,2.000,627,606.541
450,2,2.000,628,606.589
451,2,2.000,0,605.244
452,2,2.000,646,605.334
453,2,2.000,637,605.404
454,2,2.000,626,605.449
455,2,2.000,656,605.560
456,2,2.000,631,605.616
457,2,2.000,671,605.759
458,2,2.000,0,604.437
459,2,2.000,626,604.484
460,2,2.000,648,604.578
461,2,2.000,673,604.727
462,2,2.000,0,603.418
463,2,2.000,627,603.469
464,2,2.000,626,603.517
465,2,2.000,655,603.628
466,2,2.000,0,602.333
467,2,2.000,627,602.385
468,2,2.000,628,602.440
469,2,2.000,634,602.507
470,2,2.000,627,602.560
471,2,2.000,0,601.280
472,2,2.000,629,601.339
473,2,2.000,626,601.391
474,2,2.000,626,601.443
475,2,2.000,656,601.558
476,2,2.000,626,601.609
477,2,2.000,649,601.709
478,2,2.000,628,601.764
479,2,2.000,627,601.816
480,2,2.000,649,601.915
481,2,2.000,627,601.967
482,2,2.000,626,602.017
483,2,2.000,635,602.085
484,2,2.000,639,602.161
485,2,2.000,0,600.920
486,2,2.000,0,599.683
487,2,2.000,639,599.764
488,2,2.000,627,599.820
489,2,2.000,627,599.875
490,2,2.000,680,600.039
491,2,2.000,0,598.817
492,2,2.000,626,598.872
493,2,2.000,628,598.931
494,2,2.000,681,599.097
495,2,2.000,627,599.154
496,2,2.000,627,599.210
497,2,2.000,626,599.264
498,2,2.000,626,599.317
499,2,2.000,0,598.116
500,2,2.000,629,598.178
501,2,2.000,682,598.345
502,2,2.000,653,598.454
503,2,2.000,627,598.511
504,2,2.000,627,598.567
505,2,2.000,649,598.667
506,2,2.000,638,598.745
507,2,2.000,0,597.564
508,2,2.000,632,597.632
509,2,2.000,639,597.713
510,2,2.000,629,597.775
511,2,2.000,629,597.836
512,2,2.000,0,596.668
513,2,2.000,628,596.729
514,2,2.000,697,596.924
515,2,2.000,633,596.994
516,2,2.000,0,595.837
517,2,2.000,633,595.909
518,2,2.000,0,594.759
519,2,2.000,626,594.819
520,2,2.000,628,594.883
521,2,2.000,627,594.944
522,2,2.000,626,595.004
523,2,2.000,626,595.063
524,2,2.000,626,595.122
525,2,2.000,627,595.183
526,2,2.000,628,595.245
527,2,2.000,0,594.116
528,2,2.000,626,594.176
529,2,2.000,637,594.257
530,2,2.000,0,593.136
531,2,2.000,626,593.198
532,2,2.000,652,593.308
533,2,2.000,626,593.370
534,2,2.000,640,593.457
535,2,2.000,630,593.525
536,2,2.000,626,593.586
537,2,2.000,675,593.737
538,2,2.000,628,593.801
539,2,2.000,626,593.861
540,2,2.000,715,594.085
541,2,2.000,0,592.987
542,2,2.000,0,591.893
